Date,SP500TR
2025-04-30,12276.3896484375
2025-04-29,12257.26953125
2025-04-28,12186.51953125
2025-04-25,12178.490234375
2025-04-24,12089.3095703125
2025-04-23,11849.25
2025-04-22,11654.830078125
2025-04-21,11368.98046875
2025-04-17,11642.400390625
2025-04-16,11626.7900390625
2025-04-15,11892.990234375
2025-04-14,11912.4501953125
2025-04-11,11818.5302734375
2025-04-10,11608.2197265625
2025-04-09,12022.2099609375
2025-04-08,10977.5
2025-04-07,11152.5595703125
2025-04-04,11178.48046875
2025-04-03,11887.150390625
2025-04-02,12491.099609375
2025-04-01,12407.259765625
2025-03-31,12360.2099609375
2025-03-28,12290.8603515625
2025-03-27,12537.9296875
2025-03-26,12579.48046875
2025-03-25,12721.41015625
2025-03-24,12700.91015625
2025-03-21,12480.58984375
2025-03-20,12469.9697265625
2025-03-19,12495.740234375
2025-03-18,12362.16015625
2025-03-17,12494.8203125
2025-03-14,12414.2802734375
2025-03-13,12153.330078125
2025-03-12,12323.5
2025-03-11,12263.3095703125
2025-03-10,12356.6904296875
2025-03-07,12696.900390625
2025-03-06,12625.3095703125
2025-03-05,12853.990234375
2025-03-04,12711.8603515625
2025-03-03,12868.9501953125
2025-02-28,13098.2197265625
2025-02-27,12892.2001953125
2025-02-26,13099.91015625
2025-02-25,13097.849609375
2025-02-24,13159.2099609375
2025-02-21,13224.4501953125
2025-02-20,13453.5400390625
2025-02-19,13510.2900390625
2025-02-18,13478.01953125
2025-02-14,13443.099609375
2025-02-13,13440.9296875
2025-02-12,13302.099609375
2025-02-11,13337
2025-02-10,13332.150390625
2025-02-07,13241.33984375
2025-02-06,13366.9599609375
2025-02-05,13318.4296875
2025-02-04,13266.4501953125
2025-02-03,13171.2099609375
2025-01-31,13271.3798828125
2025-01-30,13337.849609375
2025-01-29,13267.650390625
2025-01-28,13329.9501953125
2025-01-27,13208.1904296875
2025-01-24,13403.509765625
2025-01-23,13440.6103515625
2025-01-22,13369.3603515625
2025-01-21,13287.580078125
2025-01-17,13171.75
2025-01-16,13041.1904296875
2025-01-15,13068.5595703125
