Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FADMX,1769,0.0326272585649909,0.0318973015685451,0,-0.222474962497987,-0.139208653722686,0.000203875702730907,-0.189142744241051,-0.0495255902767987,0.194153352174535,0.984466300513847,-0.221348656880931,8.02
FAGIX,11425,0.0914868900551935,0.0929438063293686,0,-0.165081346908414,-0.1099854117814,0.00017681716164844,-0.0608055215116441,-0.0355743797870035,0.0507363930142084,0.994718066081455,0.379828616738865,8.02
FAMRX,6438,0.0655239093847053,0.0501002935760142,0,-0.472848352611693,-0.319219797223625,0.000305444367062489,-0.144153618353208,-0.118059423842748,0.148799311886201,0.98479275482055,-1.39706961913475,9.40968379079145
FAPGX,763,0.0419934548285766,0.0428337578913276,1,0.00849880752442445,0.013742820243889,0.000117419538869973,-8.36367693491521,0.0247184884343221,0.285749060249516,0.462659766182905,2.48365836973648,8.02000000000001
FAPHX,730,0.0785974304814338,0.0676348004663641,0,-0.401980882976065,-0.284624820792125,0.000245506944940818,-0.311547710771995,-0.143550514460136,0.0855494278865941,0.966991578163755,-0.624143823366798,10.3069153742774
FAPSX,662,0.0590033316352138,0.0527794907931425,0,-0.322498399323786,-0.23249928639212,0.000126203028385796,-0.186185649310629,-0.0714481492103624,0.0945315930371734,0.98129100316364,-0.342202266556866,8.02
FARMX,1266,0.12698087074538,0.111758307826252,0,-0.314600300209995,-0.247059303203566,0.000180845568148535,-0.265026982846219,-0.0596789284837181,0.140811575543602,0.969863895238422,-0.717308010748529,9.63877759391764
FASGX,8393,0.0737558619353972,0.0669445136649498,0,-0.379042822006081,-0.244384791525168,0.000305061603175612,-0.163992972644559,-0.103141544405174,0.143774801784047,0.983635602654452,-1.14125061527454,8.55889723044139
FASIX,7391,0.0484734625675517,0.0485257983485867,0,-0.233307434328094,-0.140764666732917,0.000168524145699936,-0.0908167304293943,-0.0576883784972029,0.113212652245651,0.992360478337397,-1.00723222838829,8.57605913006814
FASMX,9152,0.0736251014872602,0.0716363415859167,0,-0.318638280370398,-0.19451404126,0.000310914858527429,-0.13995995105505,-0.0805157837881824,0.144378240816486,0.98692389205363,-0.965184552221516,8.28676041234733
FBAGX,806,0.00466735023985665,0.00279295643231903,0,-0.157948419773595,-0.125775255750858,-2.21072952518253e-05,-4.01618995410199,0.0477507320312732,0.0978190270131293,0.638728063566254,-0.357684460328836,25
FBALX,9693,0.089755048647284,0.086924768596564,0,-0.368231097128601,-0.230532332029192,0.000347178899799869,-0.138451867580859,-0.0801748983092678,0.16342946287977,0.986613879760552,-0.940294991353164,8.02
FBCVX,5613,0.0555974014107381,0.0357323521007755,0,-0.244145332120709,-0.135721543380091,0.000419542251266111,-0.290037229759415,-0.111792327415031,0.141375885021061,0.969601163404609,-0.971134433158084,8.02
FBGRX,9403,0.119631421070919,0.104076818321079,0,-0.464604045197826,-0.320746198101219,0.000406099002709618,-0.183706735755352,-0.109597456932228,0.15391225386019,0.979707409724645,-1.2444676569007,8.92597746923461
