Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FADMX,1769,0.0326272585649909,0.0318973015685451,0,-0.24321841827525,-0.153585349702672,0.000203526475962484,-0.19658435655688,-0.0519022363838265,0.204773345649822,0.98381688254549,-0.0512217533425157,1.78658277811922
FAGIX,11425,0.0914868900551935,0.0929438063293686,0,-0.334783090640753,-0.241564263279744,2.62232621346335e-05,-0.0177446494766673,-0.0289079974861956,0.0381685262213891,0.998149325431298,-0.0361207530279247,0.25
FAMRX,6438,0.0655239093847053,0.0501002935760142,0,-0.46641264389493,-0.316480188644309,0.0002948438074819,-0.153152001730964,-0.118552487938847,0.150721759283249,0.983842739483855,-0.268671100210654,2.84521678260462
FAPGX,763,0.0419934548285766,0.0428337578913276,0,-1,-1,-0.00239952765165424,-2.16864323458013,1.50564554053721,2.11579699184224,0.825002594721657,-0.143926878154184,3.31046544399992
FAPHX,730,0.0785974304814338,0.0676348004663641,0,-0.402393453935249,-0.287579147526242,0.000242203112781498,-0.305292239861112,-0.143551979114948,0.083167085658248,0.967641004345598,-0.123675180743301,3.88188214566044
FAPSX,662,0.0590033316352138,0.0527794907931425,0,-0.33695859391391,-0.241603009286136,0.000120219067891847,-0.20361996685848,-0.075847068629819,0.100099237664086,0.97944058775275,-0.0857891194411224,1.36722607925187
FARMX,1266,0.12698087074538,0.111758307826252,0,-0.311387174563154,-0.244188756363722,0.000185929338496247,-0.275528672917376,-0.0594542782251628,0.144404877824689,0.968690068537871,-0.14527058949877,3.31460902125726
FASGX,8393,0.0737558619353972,0.0669445136649498,0,-0.371219795955323,-0.239631478074397,0.000299315537193817,-0.172240130526204,-0.103170975019267,0.145446974583893,0.982828270527399,-0.251660303501701,2.55622046606262
FASIX,7391,0.0484734625675517,0.0485257983485867,0,-0.223900239451664,-0.134940587669378,0.000168773840941023,-0.0969025713555596,-0.058066586751201,0.115199021355685,0.991866106847738,-0.227126925433193,2.65152006407225
FASMX,9152,0.0736251014872602,0.0716363415859167,0,-0.309148696722129,-0.188283804961002,0.000308902438464208,-0.145635580147686,-0.0805720183567123,0.145660461122693,0.986420464615096,-0.223347622566665,2.48004261059467
FBAGX,806,0.00466735023985665,0.00279295643231903,0,-0.157677624994065,-0.12552422759613,-2.12092338054693e-05,-4.04598081416197,0.0463450783504403,0.0961490738258202,0.636097174111333,-0.0247795410353896,13.9065558111888
FBALX,9693,0.089755048647284,0.086924768596564,0,-0.357150433699182,-0.223026785902225,0.000344025215019383,-0.144112402905161,-0.0805057943459566,0.163702988328758,0.986093487801643,-0.226079547995005,2.36373222723886
FBCVX,5613,0.0555974014107381,0.0357323521007755,0,-0.286401814980043,-0.169316725309452,0.000416922318426731,-0.319320569339606,-0.126025999733307,0.138286296240545,0.966372862492803,-0.221809264806736,1.60625023064155
FBGRX,9403,0.119631421070919,0.104076818321079,0,-0.457703324669029,-0.316324457590523,0.000397792084949705,-0.19195723596996,-0.108893690843296,0.155124556244484,0.978825150386229,-0.258882810700148,2.65868473331376
FBIFX,3916,0.087183788122192,0.0797373002569035,0,-0.300467872336748,-0.199575356128225,0.000247339079545855,-0.304007357701057,-0.156553455911786,0.16120728312026,0.969014158659808,-0.279561312737585,2.25891616194375
FBIIX,1395,0.00500342268949699,0.00440616939059613,0,-0.131396839672508,-0.091799779734877,6.98336464108172e-05,-0.208833357653669,-0.0270258048977788,0.150992791521882,0.983155448745694,-0.00416534730793694,4.54042093148917
FBIOX,9919,0.113012650224217,0.0798947086262265,0,-0.534252987106459,-0.392037562644106,0.000527349572636389,-0.133182652041076,-0.049589528243668,0.174434811005466,0.98440330750028,-0.147519364140674,2.50920092883602
FBMPX,9784,0.11862408642156,0.10130361294802,0,-0.520189825680632,-0.368915148340128,0.000536136809536615,-0.164394924719842,-0.0769308668920418,0.173115888148554,0.981980472010351,-0.179604979484111,2.07726236882293
FBNDX,11425,0.0615558923485162,0.0619657402217813,0,-0.144967980362947,-0.0907578527214873,0.000246225186973038,-0.0573765247288169,-0.0175582920972139,0.0877556631660147,0.995051309251888,0.111310054311294,1.18039487786652
FBSOX,6851,0.114076448785632,0.093430950332414,0,-0.475656012649727,-0.331937950008248,0.000435443120096929,-0.198694123824692,-0.118048979767748,0.144582770503447,0.977776987640232,-0.213027884050756,3.23138414527308
FCAEX,973,0.0310069927494284,0.0111485969516136,0,-0.424871372940669,-0.33006314331067,0.000137564456797405,-0.254810348546194,-0.132726505821263,0.0869325045623552,0.9715156291645,-0.212014160126127,4.40996867938964
FCBFX,3770,0.03889133208389,0.0380170317956283,0,-0.18197556277347,-0.118575785950709,0.000190910869115842,-0.113620554084137,-0.0153667863169916,0.119366993095263,0.99020882143054,-0.151245548305049,4.6623975199428
FCNTX,11425,0.114718192807992,0.104690169896554,0,-0.38558756825649,-0.255915739685202,0.000474336250721877,-0.303598551673822,-0.091233308066328,0.175314085040961,0.967873850597137,-0.243191088625442,1.71053353857378
FCNVX,3502,0.0177274332120527,0.0178509133799649,1,0.000261391765513981,0.000669396402587046,8.76806694332541e-06,-0.257307403649023,-0.0184490224572899,0.0349036298122771,0.988188768707834,0.436167386881917,0.25
FCPVX,5153,0.0917252454805114,0.0657727602908231,0,-0.607559684247162,-0.427795185842557,0.00021596111911961,-0.121155980730452,-0.100306326443857,0.148609517006393,0.986341051796704,-0.220391027806918,3.7694418787234
FCSTX,4907,0.0228161620737161,0.0228935881149313,0,-0.112482930687057,-0.0781059223015446,5.28707728000564e-05,-0.0528479733637679,-0.0705693720075603,0.201870036220046,0.997885427246437,0.198295513579103,0.25
FCTFX,10286,0.053524341613942,0.0540962005188543,0,-0.189905129740114,-0.122971962696324,0.000293990558828211,-0.33425859181431,-0.0687808656875723,0.258410093583038,0.972950203245018,0.238001165286179,0.355405387420259
FCVSX,9654,0.0978298546945094,0.0921088685663762,0,-0.496832096339802,-0.321141924884907,0.000505566629004354,-0.120921432266017,-0.0506378943248201,0.185094275536771,0.988077996969446,-0.306297226999588,2.75151181819462
FCYIX,7086,0.0962920685533962,0.0755336167343534,0,-0.548314504149232,-0.392929963536852,0.000301898746782291,-0.175195846051313,-0.108859839387059,0.129188685069888,0.980408193851923,-0.235040326298131,2.85437899262234
FDCAX,9679,0.107550368219398,0.0925959990496399,0,-0.46854443740794,-0.324234318556072,0.000478691522615638,-0.181826821980438,-0.0887480907592497,0.188810254069888,0.980489771133463,-0.255972921187704,2.52608576076305
FDCPX,10016,0.118271571844034,0.0849134286049258,0,-0.592792851652239,-0.436106681066351,0.000622764105910168,-0.133949975862109,-0.0658053716663302,0.152113170469558,0.98430767857682,-0.201206455642887,3.29838818613905
FDEEX,3498,0.0831185937543533,0.0741429861616572,0,-0.320278840352113,-0.218311866320935,0.000255500258751925,-0.307589139631999,-0.146849034090505,0.177786251139002,0.968334554578373,-0.295478606554952,2.61024926180526
FDEGX,8646,0.0908046244207187,0.0627748940048085,0,-0.573099426250138,-0.41682672877192,0.000415769446183883,-0.145094374820628,-0.0902841559481831,0.1690140331799,0.983534457896514,-0.296911937625257,3.65272642079565
FDEQX,9152,0.100276507874813,0.0869254436888931,0,-0.406046639445691,-0.270390308304106,0.000344777256413609,-0.246672684720307,-0.127761827189918,0.160843521806571,0.973542254882783,-0.27405025302267,2.68770787881539
FDEWX,3497,0.0820277879487046,0.0734640676382126,0,-0.316701043794603,-0.210079623966201,0.000228562803031412,-0.278893280449646,-0.152521984161535,0.163515464650401,0.971500830762596,-0.295499698796263,2.53271777749394
FDFAX,10016,0.108760639256864,0.103984123882489,0,-0.31293955789286,-0.207407511823387,0.000447531439140995,-0.292288551090426,-0.0760239733944895,0.163586714781983,0.97031250571542,-0.179535954768927,2.36345992349865
FDGFX,7498,0.0918679868979397,0.0739652236183019,0,-0.5055175103175,-0.342059776710331,0.00032363268237682,-0.159367622216161,-0.120583839140398,0.153578354409108,0.982835619176386,-0.233489662792251,2.53229508880055
FDIVX,8394,0.0767395803060809,0.0643338616834939,0,-0.492757271014425,-0.331986805548492,0.000361029884426398,-0.177580307217778,-0.0731753457398327,0.15893213965651,0.981410133877122,-0.214577816825528,2.38184263156446
FDKLX,2694,0.0801621035933199,0.0710199324711267,0,-0.327027584137852,-0.223641187999588,0.000219627824001333,-0.312865990737552,-0.155762123510566,0.187910836253156,0.967928224494506,-0.297870555071182,2.6012076182598
FDKVX,2694,0.0824717324113439,0.0731955182986093,0,-0.327647604986485,-0.224846401241378,0.00026048790799697,-0.328609086545153,-0.149051113545772,0.196421602314112,0.966123998633655,-0.301219317683015,2.83107180397932
FDLSX,10325,0.127198177185834,0.113424531600872,0,-0.446800160470732,-0.302366030727112,0.000594892120576176,-0.207942785425498,-0.0797459888047975,0.18110556063997,0.977554005671252,-0.197967463523111,2.24333705689435
FDMMX,10448,0.0521683876323454,0.0527190128920654,0,-0.170530219523504,-0.109790293296932,0.00027614851161253,-0.372705351711391,-0.0719074747959238,0.248221051793632,0.96981909600116,0.241624741794794,0.291769089638152
FDSCX,7391,0.0771287822369993,0.0546977782799643,0,-0.520110497143976,-0.372528538543656,0.000380149210323226,-0.220707422760241,-0.106497999597008,0.16750254727551,0.975570353058441,-0.28617743876005,4.95372776033829
FDSSX,8709,0.101162264991519,0.0873863394186407,0,-0.431706453428883,-0.286273158342385,0.000364693678857774,-0.213564899342125,-0.120176153874162,0.158855333576989,0.977119364900302,-0.286825040267172,3.05801973372357
FDSVX,6813,0.0878528564986824,0.067637028528454,0,-0.497771305219307,-0.346862291713369,0.00031737885470827,-0.217798748184615,-0.123640665063301,0.17094970984052,0.975988649312694,-0.318496355577056,2.9142112789182
FDVLX,11425,0.100273097460584,0.0855696913476365,0,-0.543794268810065,-0.378740199691072,0.00046144135608369,-0.109559238418531,-0.0542553784132738,0.134606297082329,0.988423520663028,-0.227365146488893,1.92370218554536
FECGX,1455,0.0485232966095716,0.00820273925052861,0,-0.539861284184115,-0.419163658845673,0.00013193605055867,-0.26903237422312,-0.0960426549056797,0.184045237533804,0.96796616557892,-0.187838868135106,5.08917265711343
FEDDX,3391,0.0583673554303215,0.0482333708489569,0,-0.39421452847641,-0.289253016457602,0.000210715463141985,-0.298726243370723,-0.0716733789809525,0.176125629008751,0.969003924197149,-0.271360336840304,2.68564327877839
FEMKX,8686,0.0505232989276832,0.0309080367250036,0,-0.653248633107004,-0.483658894007592,0.000349882590685431,-0.183838423611471,-0.0542042929548746,0.191724836177768,0.979988278737971,-0.186647854849761,1.93364594517039
FEMNX,207,-0.0220904049704307,-0.0231063984489495,0,-0.143788127386084,-0.114688467662481,-6.00340954890956e-05,-1.01317059783067,-0.0069175991308684,0.216002579050213,0.912470498180678,-0.297274210149924,3.54976425243811
FEOPX,1377,0.0905293163290531,0.0701095991471112,0,-0.442552539463299,-0.323329246386121,0.000378186115672803,-0.235293235909059,-0.13686525177052,0.163031167360148,0.974070497620793,-0.326816926792321,3.23600887397235
FEQHX,662,0.0974232965213933,0.0946278406249204,0,-0.258171994931993,-0.171885755703384,0.000377691040047974,-0.221360904643088,-0.0768699857383749,0.0744447054361264,0.97777758466009,-0.0422065513224878,2.94693909678147
FEQIX,11425,0.0919574898509463,0.0814491279105434,0,-0.381725173419815,-0.250297797975168,0.000412899639723469,-0.145551877001811,-0.0647063822912653,0.136775656975116,0.985076854413271,-0.199527809130704,1.4518772082219
FEQTX,8736,0.0934452713546884,0.0807279140182386,0,-0.426274091707098,-0.270173370080405,0.000403892967879796,-0.141151003765105,-0.0968399941185602,0.161422070241158,0.985348290640482,-0.197123230341182,2.59660499781424
FFANX,4415,0.0473384900076426,0.0448094588726049,0,-0.320790450204208,-0.205178592422962,0.000209075027327401,-0.160796142617881,-0.101050682322248,0.146703166915955,0.985412685331717,-0.271366779939361,2.60953843163998
FFBSX,1467,0.0872240203285304,0.0735054800007502,0,-0.428410182424012,-0.307348927705585,0.00025244655550298,-0.271106970723726,-0.138940961726759,0.158112638947951,0.971060352435679,-0.342517105890763,3.8397445348603
