Fund,N,EVaR_99,EVaR_99_1y,Source
FADMX,1769,-0.0255315918141645,-0.128878185134964,Fidelity_mutual_funds20240430
FAGIX,11425,-0.0387886053067838,-0.133630761758011,Fidelity_mutual_funds20240430
FAMRX,6438,-0.0730056356790286,-0.50130682979367,Fidelity_mutual_funds20240430
FAPGX,763,-0.00458797588682131,0.0138045831370161,Fidelity_mutual_funds20240430
FAPHX,730,-0.0460196759512504,-0.415487773729706,Fidelity_mutual_funds20240430
FAPSX,662,-0.0318251935809213,-0.312334510968714,Fidelity_mutual_funds20240430
FARMX,1266,-0.0545857886299038,-0.501478324180531,Fidelity_mutual_funds20240430
FASGX,8393,-0.0575358218464119,-0.344818871353968,Fidelity_mutual_funds20240430
FASIX,7391,-0.0186296729606981,-0.0969535329958311,Fidelity_mutual_funds20240430
FASMX,9152,-0.0401251499706688,-0.221151717779356,Fidelity_mutual_funds20240430
FBAGX,806,-0.0128633854819243,-0.181471917701523,Fidelity_mutual_funds20240430
FBALX,9693,-0.053420212902122,-0.265780641879073,Fidelity_mutual_funds20240430
FBCVX,5613,-0.0962066221507715,-0.588289006300722,Fidelity_mutual_funds20240430
FBGRX,9403,-0.0841724434820355,-0.509076622044012,Fidelity_mutual_funds20240430
FBIFX,3916,-0.0711869241848586,-0.371043257334884,Fidelity_mutual_funds20240430
FBIIX,1395,-0.00909874433145918,-0.101137843998025,Fidelity_mutual_funds20240430
FBIOX,9919,-0.170693094244249,-0.742379137722906,Fidelity_mutual_funds20240430
FBMPX,9784,-0.0818409300990583,-0.532953913137113,Fidelity_mutual_funds20240430
FBNDX,11425,-0.0208420655586914,-0.100568931931489,Fidelity_mutual_funds20240430
FBSOX,6851,-0.0909678236822875,-0.573728104352509,Fidelity_mutual_funds20240430
FCAEX,973,-0.048701668302477,-0.575096678263823,Fidelity_mutual_funds20240430
FCBFX,3770,-0.0249887178309118,-0.137422686729594,Fidelity_mutual_funds20240430
FCNTX,11425,-0.115837370170238,-0.460133176553668,Fidelity_mutual_funds20240430
FCNVX,3502,-0.00466242311136274,-0.00471183765777105,Fidelity_mutual_funds20240430
FCPVX,5153,-0.0890882740203703,-0.6433664518829,Fidelity_mutual_funds20240430
FCSTX,4907,-0.0122906874507569,-0.0395552832483582,Fidelity_mutual_funds20240430
FCTFX,10286,-0.0206715359763161,-0.0761689263210217,Fidelity_mutual_funds20240430
FCVSX,9654,-0.0613404374853048,-0.343884628884464,Fidelity_mutual_funds20240430
FCYIX,7086,-0.0832272977092561,-0.576654594845305,Fidelity_mutual_funds20240430
FDCAX,9679,-0.100453274622477,-0.506505517237481,Fidelity_mutual_funds20240430
FDCPX,10016,-0.170380915651316,-0.737767491553825,Fidelity_mutual_funds20240430
FDEEX,3498,-0.0705093384678881,-0.398248050735497,Fidelity_mutual_funds20240430
FDEGX,8646,-0.0888510372310445,-0.664694858196469,Fidelity_mutual_funds20240430
FDEQX,9152,-0.0818783773435235,-0.472451772965582,Fidelity_mutual_funds20240430
FDEWX,3497,-0.0725129283933277,-0.391043303176351,Fidelity_mutual_funds20240430
FDFAX,10016,-0.110283905404761,-0.35675611802695,Fidelity_mutual_funds20240430
FDGFX,7498,-0.0860991154478148,-0.541131765670247,Fidelity_mutual_funds20240430
FDIVX,8394,-0.0753820508158223,-0.456581705535778,Fidelity_mutual_funds20240430
FDKLX,2693,-0.0742498195441703,-0.402553088447009,Fidelity_mutual_funds20240430
FDKVX,2693,-0.0723835124185273,-0.404626019974257,Fidelity_mutual_funds20240430
FDLSX,10325,-0.135468106537666,-0.517215517852473,Fidelity_mutual_funds20240430
FDMMX,10448,-0.0204538789558067,-0.0741756466506669,Fidelity_mutual_funds20240430
FDSCX,7391,-0.0900534542315475,-0.603309409277531,Fidelity_mutual_funds20240430
FDSSX,8709,-0.0840385903244709,-0.480722935101781,Fidelity_mutual_funds20240430
FDSVX,6813,-0.0930467670866127,-0.573093655266739,Fidelity_mutual_funds20240430
FDVLX,11425,-0.10234166045516,-0.510645294090505,Fidelity_mutual_funds20240430
FECGX,1455,-0.117625384804139,-0.839174390581334,Fidelity_mutual_funds20240430
FEDDX,3391,-0.0795115121160592,-0.424934768708341,Fidelity_mutual_funds20240430
FEMKX,8686,-0.0864527440215292,-0.577880426974716,Fidelity_mutual_funds20240430
FEMNX,207,-0.0125509916370344,-0.178580905538052,Fidelity_mutual_funds20240430
FEOPX,1377,-0.092994513492907,-0.579321813834364,Fidelity_mutual_funds20240430
FEQHX,662,-0.0289935513063575,-0.259554394036095,Fidelity_mutual_funds20240430
FEQIX,11425,-0.0877498861963981,-0.439019185843814,Fidelity_mutual_funds20240430
FEQTX,8736,-0.0799161008398002,-0.464398962977612,Fidelity_mutual_funds20240430
FFANX,4415,-0.0347881373624264,-0.216406620696234,Fidelity_mutual_funds20240430
FFBSX,1467,-0.0790641734786565,-0.483978156578334,Fidelity_mutual_funds20240430
FFEBX,973,-0.0133221072479764,-0.202648305335213,Fidelity_mutual_funds20240430
FFEDX,2474,-0.0458761850061683,-0.264183977860873,Fidelity_mutual_funds20240430
FFEGX,2474,-0.0540378110923401,-0.306208895267831,Fidelity_mutual_funds20240430
FFEZX,2474,-0.0673305826385313,-0.368564725130445,Fidelity_mutual_funds20240430
FFFAX,7178,-0.0161082728991166,-0.0930827060216216,Fidelity_mutual_funds20240430
FFFCX,7178,-0.0349609737614778,-0.22423460614676,Fidelity_mutual_funds20240430
FFFDX,7178,-0.0456071838491092,-0.314044213299584,Fidelity_mutual_funds20240430
FFFEX,7178,-0.0553613403726858,-0.385908810238685,Fidelity_mutual_funds20240430
FFFFX,6198,-0.0683852712588506,-0.465225812989705,Fidelity_mutual_funds20240430
FFFGX,4757,-0.0704987845878422,-0.470943076109378,Fidelity_mutual_funds20240430
FFFHX,4757,-0.0717087103264962,-0.486085055930536,Fidelity_mutual_funds20240430
FFGCX,4049,-0.0980466972279968,-0.673314693206888,Fidelity_mutual_funds20240430
FFGZX,2474,-0.0167619513395198,-0.103033626575455,Fidelity_mutual_funds20240430
FFIDX,11425,-0.156850957250374,-0.561144522386319,Fidelity_mutual_funds20240430
FFIJX,1467,-0.0799306929093829,-0.475613905548796,Fidelity_mutual_funds20240430
FFIKX,1467,-0.0799503203061611,-0.47624611941278,Fidelity_mutual_funds20240430
FFIZX,2474,-0.0749031187654293,-0.406853300127854,Fidelity_mutual_funds20240430
FFLDX,2474,-0.074936884204359,-0.410580119393671,Fidelity_mutual_funds20240430
FFLEX,2474,-0.0749721956050017,-0.410898110674274,Fidelity_mutual_funds20240430
FFNOX,6499,-0.0672729787215259,-0.437637680104934,Fidelity_mutual_funds20240430
FFOLX,2474,-0.0750303440280148,-0.41105665821703,Fidelity_mutual_funds20240430
FFOPX,2474,-0.0749234464034382,-0.410983432852087,Fidelity_mutual_funds20240430
FFRHX,6201,-0.0269479460772556,-0.0876515208902725,Fidelity_mutual_funds20240430
FFSFX,1467,-0.0778026591507194,-0.473955755626935,Fidelity_mutual_funds20240430
FFTHX,5613,-0.063831216764035,-0.413734899789251,Fidelity_mutual_funds20240430
FFTWX,5613,-0.0501250414446239,-0.330058753471303,Fidelity_mutual_funds20240430
FFVFX,5613,-0.0380669709732673,-0.244255222165796,Fidelity_mutual_funds20240430
FFWTX,2474,-0.0266652863021379,-0.156367417695772,Fidelity_mutual_funds20240430
FFXSX,9691,-0.00740782958995788,-0.0370496967111718,Fidelity_mutual_funds20240430
FGBFX,3252,-0.0227425596387745,-0.138978063204186,Fidelity_mutual_funds20240430
FGILX,3266,-0.0710048162087374,-0.348821936818276,Fidelity_mutual_funds20240430
FGMNX,9944,-0.0200066810764125,-0.0789170356935313,Fidelity_mutual_funds20240430
FGOVX,11425,-0.0212231520593506,-0.0927179018065642,Fidelity_mutual_funds20240430
FGRIX,9910,-0.100812643281149,-0.475644292538642,Fidelity_mutual_funds20240430
FGRTX,6625,-0.0778092098632493,-0.518075931889154,Fidelity_mutual_funds20240430
FHANX,1673,-0.0774641543676784,-0.475348464458506,Fidelity_mutual_funds20240430
FHAOX,1673,-0.0773807649458255,-0.474502878743554,Fidelity_mutual_funds20240430
FHAPX,1673,-0.0784721593910246,-0.476297676326411,Fidelity_mutual_funds20240430
FHAQX,1673,-0.0781535943156659,-0.476518352822042,Fidelity_mutual_funds20240430
FHARX,1673,-0.0781594052266032,-0.470244821492973,Fidelity_mutual_funds20240430
FHASX,1673,-0.0698518597481513,-0.419509959638382,Fidelity_mutual_funds20240430
FHATX,1673,-0.0550335912334071,-0.34481892431693,Fidelity_mutual_funds20240430
FHAUX,1673,-0.0469007280839235,-0.302808393492198,Fidelity_mutual_funds20240430
FHAVX,1673,-0.0413680954674268,-0.268829188303597,Fidelity_mutual_funds20240430
FHAWX,1673,-0.0339652936186874,-0.22389997260205,Fidelity_mutual_funds20240430
FHAYX,1673,-0.0270712238690694,-0.179186744440636,Fidelity_mutual_funds20240430
FHBZX,1673,-0.0165473073465095,-0.125626774612251,Fidelity_mutual_funds20240430
FHIFX,5193,-0.0270689821330537,-0.110209575727871,Fidelity_mutual_funds20240430
FHIGX,11425,-0.0208996164920804,-0.0782668149942826,Fidelity_mutual_funds20240430
FHKCX,7318,-0.0769676321045371,-0.643964333008847,Fidelity_mutual_funds20240430
FHLKX,1294,-0.0301163754799252,-0.205650330954781,Fidelity_mutual_funds20240430
