Code,Name,Country,Exchange,Currency,Type,ISIN
AEM,Agnico Eagle Mines Limited,Canada,TSX,CAD,Common Stock,CA0084741085
AQN,Algonquin Power & Utilities Corp.,Canada,TSX,CAD,Common Stock,CA0158571053
ATD,Alimentation Couche-Tard Inc.,Canada,TSX,CAD,Common Stock,CA01626P1484
BMO,Bank of Montreal,Canada,TSX,CAD,Common Stock,CA0636711016
BNS,Bank of Nova Scotia,Canada,TSX,CAD,Common Stock,CA0641491075
ABX,Barrick Mining Corporation,Canada,TSX,CAD,Common Stock,CA06849F1080
BCE,BCE Inc.,Canada,TSX,CAD,Common Stock,CA05534B7604
BAM,Brookfield Asset Management Ltd.,Canada,TSX,CAD,Common Stock,CA1130041058
BN,Brookfield Corporation,Canada,TSX,CAD,Common Stock,CA11271J1075
BIP.UN,Brookfield Infrastructure Partners L.P.,Canada,TSX,CAD,Common Stock,BMG162521014
CAE,CAE Inc.,Canada,TSX,CAD,Common Stock,CA0123861013
CCO,Cameco Corporation,Canada,TSX,CAD,Common Stock,CA13321L1060
CAR.UN,Canadian Apartment Properties REIT,Canada,TSX,CAD,Common Stock,CA13606T1049
CM,Canadian Imperial Bank of Commerce,Canada,TSX,CAD,Common Stock,CA1360691010
CNR,Canadian National Railway Company,Canada,TSX,CAD,Common Stock,CA1363751027
CNQ,Canadian Natural Resources Limited,Canada,TSX,CAD,Common Stock,CA1363851017
CP,Canadian Pacific Kansas City Limited,Canada,TSX,CAD,Common Stock,CA13646K1084
CTC.A,Canadian Tire Corporation Limited,Canada,TSX,CAD,Common Stock,CA1366812024
CCL.B,CCL Industries Inc.,Canada,TSX,CAD,Common Stock,CA13675M1080
CVE,Cenovus Energy Inc.,Canada,TSX,CAD,Common Stock,CA15135U1093
GIB.A,CGI Inc. Class A,Canada,TSX,CAD,Common Stock,CA03636U1016
CSU,Constellation Software Inc.,Canada,TSX,CAD,Common Stock,CA21037X1006
DOL,Dollarama Inc.,Canada,TSX,CAD,Common Stock,CA25615M2073
EMA,Emera Incorporated,Canada,TSX,CAD,Common Stock,CA2908763097
ENB,Enbridge Inc.,Canada,TSX,CAD,Common Stock,CA29250N1050
FM,First Quantum Minerals Ltd.,Canada,TSX,CAD,Common Stock,CA3359341052
FSV,FirstService Corp,Canada,TSX,CAD,Common Stock,CA3239031064
FTS,Fortis Inc.,Canada,TSX,CAD,Common Stock,CA3495511021
FNV,Franco-Nevada Corporation,Canada,TSX,CAD,Common Stock,CA3518581051
WN,George Weston Limited,Canada,TSX,CAD,Common Stock,CA4498683056
GIL,Gildan Activewear Inc.,Canada,TSX,CAD,Common Stock,CA3759161035
H,Hydro One Limited,Canada,TSX,CAD,Common Stock,CA44815L1006
IMO,Imperial Oil Limited,Canada,TSX,CAD,Common Stock,CA45412P1047
IFC,Intact Financial Corporation,Canada,TSX,CAD,Common Stock,CA45675Q1086
K,Kinross Gold Corporation,Canada,TSX,CAD,Common Stock,CA49709E1091
L,Loblaw Companies Limited,Canada,TSX,CAD,Common Stock,CA5394811019
MG,Magna International Inc.,Canada,TSX,CAD,Common Stock,CA5592224011
MFC,Manulife Financial Corporation,Canada,TSX,CAD,Common Stock,CA56501R1064
MRU,Metro Inc.,Canada,TSX,CAD,Common Stock,CA59162N1096
NA,National Bank of Canada,Canada,TSX,CAD,Common Stock,CA6330671034
NTR,Nutrien Ltd.,Canada,TSX,CAD,Common Stock,CA67077M1086
OTEX,Open Text Corporation,Canada,TSX,CAD,Common Stock,CA6837151068
PPL,Pembina Pipeline Corporation,Canada,TSX,CAD,Common Stock,CA7063271097
POW,Power Corporation of Canada,Canada,TSX,CAD,Common Stock,CA73946C1099
QSR,Restaurant Brands International Inc.,Canada,TSX,CAD,Common Stock,CA76009G1079
RCI.B,Rogers Communications Inc. (Class B),Canada,TSX,CAD,Common Stock,CA7751092007
RY,Royal Bank of Canada,Canada,TSX,CAD,Common Stock,CA7800871021
SAP,Saputo Inc.,Canada,TSX,CAD,Common Stock,CA8029121057
SHOP,Shopify Inc.,Canada,TSX,CAD,Common Stock,CA82509L1076
SLF,Sun Life Financial Inc.,Canada,TSX,CAD,Common Stock,CA8678341071
SU,Suncor Energy Inc.,Canada,TSX,CAD,Common Stock,CA8672241079
TRP,TC Energy Corporation,Canada,TSX,CAD,Common Stock,CA87807B1076
TECK.B,Teck Resources Limited (Class B),Canada,TSX,CAD,Common Stock,CA8787422044
T,TELUS Corporation,Canada,TSX,CAD,Common Stock,CA87971M1032
TRI,Thomson Reuters Corporation,Canada,TSX,CAD,Common Stock,CA8849038085
TD,Toronto-Dominion Bank,Canada,TSX,CAD,Common Stock,CA8911605092
TOU,Tourmaline Oil Corp.,Canada,TSX,CAD,Common Stock,CA89156V1067
WCN,Waste Connections Inc.,Canada,TSX,CAD,Common Stock,CA94184L1002
WPM,Wheaton Precious Metals Corp.,Canada,TSX,CAD,Common Stock,CA9628791027
WSP,WSP Global Inc.,Canada,TSX,CAD,Common Stock,CA9292321054
