Code,Name,Country,Exchange,Currency,Type,ISIN
AAV,Advantage Energy Ltd,Canada,TSX,CAD,Common Stock,
ABX,Barrick Gold Corp,Canada,TSX,CAD,Common Stock,
AC,Air Canada,Canada,TSX,CAD,Common Stock,
ACO.X,Atco Ltd,Canada,TSX,CAD,Common Stock,
AEM,Agnico Eagle Mines Ltd,Canada,TSX,CAD,Common Stock,
AGI,Alamos Gold Inc,Canada,TSX,CAD,Common Stock,
AIF,Altus Group Ltd,Canada,TSX,CAD,Common Stock,
ALA,AltaGas Ltd,Canada,TSX,CAD,Common Stock,
AP.UN,Allied Properties Real Estate Investment Trust,Canada,TSX,CAD,Common Stock,
AQN,Algonquin Power & Utilities Corp,Canada,TSX,CAD,Common Stock,
ARE,Aecon Group Inc,Canada,TSX,CAD,Common Stock,
ATH,Athabasca Oil Corp,Canada,TSX,CAD,Common Stock,
ATD,Alimentation Couche-Tard Inc,Canada,TSX,CAD,Common Stock,
ATZ,Aritzia Inc,Canada,TSX,CAD,Common Stock,
ATS,ATS Corp,Canada,TSX,CAD,Common Stock,
ATRL,AtkinsRéalis Group Inc,Canada,TSX,CAD,Common Stock,
AYA,Aya Gold & Silver Inc,Canada,TSX,CAD,Common Stock,
BAM,Brookfield Asset Management Ltd,Canada,TSX,CAD,Common Stock,
BB,BlackBerry Ltd,Canada,TSX,CAD,Common Stock,
BBD.B,Bombardier Inc,Canada,TSX,CAD,Common Stock,
BBU.UN,Brookfield Business Partners L.P.,Canada,TSX,CAD,Common Stock,
BDGI,Badger Infrastructure Solutions Ltd,Canada,TSX,CAD,Common Stock,
BDT,Bird Construction Inc,Canada,TSX,CAD,Common Stock,
BEI.UN,Boardwalk Real Estate Investment Trust,Canada,TSX,CAD,Common Stock,
BEP.UN,Brookfield Renewable Partners L.P.,Canada,TSX,CAD,Common Stock,
BFI,Company Name TBD,Canada,TSX,CAD,Common Stock,
BHC,Bausch Health Companies Inc,Canada,TSX,CAD,Common Stock,
BIP.UN,Brookfield Infrastructure Partners L.P.,Canada,TSX,CAD,Common Stock,
BIR,Birchcliff Energy Ltd,Canada,TSX,CAD,Common Stock,
BMO,Bank of Montreal,Canada,TSX,CAD,Common Stock,
BNS,Bank of Nova Scotia,Canada,TSX,CAD,Common Stock,
BTE,Baytex Energy Corp,Canada,TSX,CAD,Common Stock,
BTO,B2Gold Corp,Canada,TSX,CAD,Common Stock,
BAM.A,Company Name TBD,Canada,TSX,CAD,Common Stock,
BCE,BCE Inc.,Canada,TSX,CAD,Common Stock,
BLX,Boralex Inc,Canada,TSX,CAD,Common Stock,
BN,Brookfield Corp,Canada,TSX,CAD,Common Stock,
BYD,Boyd Group Services Inc,Canada,TSX,CAD,Common Stock,
CAE,CAE Inc,Canada,TSX,CAD,Common Stock,
CAR.UN,Canadian Apartment Properties REIT,Canada,TSX,CAD,Common Stock,
CCA,Cogeco Communications Inc,Canada,TSX,CAD,Common Stock,
CCL.B,CCL Industries Inc,Canada,TSX,CAD,Common Stock,
CCO,Cameco Corp,Canada,TSX,CAD,Common Stock,
CEU,CES Energy Solutions Corp,Canada,TSX,CAD,Common Stock,
CG,Centerra Gold Inc,Canada,TSX,CAD,Common Stock,
CIGI,Colliers International Group Inc,Canada,TSX,CAD,Common Stock,
CIK,Company Name TBD,Canada,TSX,CAD,Common Stock,
CIX,CI Financial Corp,Canada,TSX,CAD,Common Stock,
