Code,Name,Country,Exchange,Currency,Type,ISIN
ADM,Admiral Group,UK,LSE,GBP,Common Stock,GB00B1YW4400
AAL,Anglo American plc,UK,LSE,GBP,Common Stock,GB00B1XZS820
AAF,Airtel Africa,UK,LSE,GBP,Common Stock,GB00BDR05C01
ABF,Associated British Foods,UK,LSE,GBP,Common Stock,GB00BDVZYZ77
AZN,AstraZeneca,UK,LSE,GBP,Common Stock,GB0009895292
AUTO,Auto Trader Group,UK,LSE,GBP,Common Stock,GB00BFZH5471
AV,Aviva,UK,LSE,GBP,Common Stock,GB0002162385
BAB,Babcock International,UK,LSE,GBP,Common Stock,GB0000578169
BA,BAE Systems,UK,LSE,GBP,Common Stock,GB0002634946
BARC,Barclays,UK,LSE,GBP,Common Stock,GB0031348658
BTRW,Barratt Developments,UK,LSE,GBP,Common Stock,GB0000811801
BEZ,Beazley,UK,LSE,GBP,Common Stock,GB0000758874
BKG,Berkeley Group Holdings,UK,LSE,GBP,Common Stock,GB00B0LCW192
BP,BP,UK,LSE,GBP,Common Stock,GB0007980591
BATS,British American Tobacco,UK,LSE,GBP,Common Stock,GB0002875804
BT-A,BT Group,UK,LSE,GBP,Common Stock,GB0030913577
BNZL,Bunzl,UK,LSE,GBP,Common Stock,GB0009335974
CNA,Centrica,UK,LSE,GBP,Common Stock,GB00BDR05C01
CCEP,Coca-Cola Europacific Partners,UK,LSE,GBP,Common Stock,GB00BPYSYWW4
CCH,Coca-Cola HBC,UK,LSE,GBP,Common Stock,GB00B3DDW042
CPG,Compass Group,UK,LSE,GBP,Common Stock,GB00BDRVTX73
CTEC,Convatec,UK,LSE,GBP,Common Stock,GB00B018PQ18
CRDA,Croda International,UK,LSE,GBP,Common Stock,GB0008762891
DCC,DCC,UK,LSE,GBP,Common Stock,GB0009062847
DGE,Diageo,UK,LSE,GBP,Common Stock,GB0002374006
DPLM,Diploma,UK,LSE,GBP,Common Stock,GB00B23YHQ26
EDV,Endeavour Mining,UK,LSE,GBP,Common Stock,US29413Q3040
ENT,Entain,UK,LSE,GBP,Common Stock,GB00BMX5KY81
EZJ,EasyJet,UK,LSE,GBP,Common Stock,GB00B7KR2P84
EXPN,Experian,UK,LSE,GBP,Common Stock,IE0032073201
FCIT,F&C Investment Trust,UK,LSE,GBP,Common Stock,GB00B1F4KW68
FRES,Fresnillo,UK,LSE,GBP,Common Stock,GB00BZBFH894
GAW,Games Workshop Group,UK,LSE,GBP,Common Stock,GB0005594253
GLEN,Glencore,UK,LSE,GBP,Common Stock,JE00B4T3BW64
GSK,GSK,UK,LSE,GBP,Common Stock,GB0009252882
HLN,Haleon,UK,LSE,GBP,Common Stock,GB00BYW5KJ00
HLMA,Halma,UK,LSE,GBP,Common Stock,GB00B3MW2G64
HIK,Hikma Pharmaceuticals,UK,LSE,GBP,Common Stock,GB0005476810
HSX,Hiscox,UK,LSE,GBP,Common Stock,GB0004244853
