Code,Name,Country,Exchange,Currency,Type,ISIN
AAPL,Apple Inc.,US,NASDAQ,USD,Common Stock,US0378331005
ABNB,Airbnb Inc.,US,NASDAQ,USD,Class A Common Stock,US0090661010
ADBE,Adobe Inc.,US,NASDAQ,USD,Common Stock,US00724F1012
ADI,Analog Devices Inc.,US,NASDAQ,USD,Common Stock,US0326541051
ADP,Automatic Data Processing Inc.,US,NASDAQ,USD,Common Stock,US0530151036
ADSK,Autodesk Inc.,US,NASDAQ,USD,Common Stock,US0527691069
AEP,American Electric Power Company Inc.,US,NASDAQ,USD,Common Stock,US0255371017
AMD,Advanced Micro Devices Inc.,US,NASDAQ,USD,Common Stock,US0079031078
AMAT,Applied Materials Inc.,US,NASDAQ,USD,Common Stock,US0382221051
AMGN,Amgen Inc.,US,NASDAQ,USD,Common Stock,US0311621009
AMZN,Amazon.com Inc.,US,NASDAQ,USD,Common Stock,US0231351067
APP,AppLovin Corporation,US,NASDAQ,USD,Class A Common Stock,US03831W1080
ARM,Arm Holdings plc,UK,NASDAQ,USD,American Depositary Shares,US0420682058
ASML,ASML Holding N.V.,Netherlands,NASDAQ,USD,New York Registry Shares,USN070592100
AZN,AstraZeneca PLC,UK,NASDAQ,USD,American Depositary Shares,US0463531089
AXON,Axon Enterprise Inc.,US,NASDAQ,USD,Common Stock,US05464C1018
AVGO,Broadcom Inc.,US,NASDAQ,USD,Common Stock,US11135F1012
BIIB,Biogen Inc.,US,NASDAQ,USD,Common Stock,US09062X1037
BKNG,Booking Holdings Inc.,US,NASDAQ,USD,Common Stock,US09857L1089
BKR,Baker Hughes Company,US,NASDAQ,USD,Common Stock,US05722G1004
CCEP,Coca-Cola Europacific Partners plc,UK,NASDAQ,USD,Ordinary Shares,GB00BDCPN049
CDNS,Cadence Design Systems Inc.,US,NASDAQ,USD,Common Stock,US1273871087
CDW,CDW Corporation,US,NASDAQ,USD,Common Stock,US12514G1085
CHTR,Charter Communications Inc.,US,NASDAQ,USD,Class A Common Stock,US16119P1084
CMCSA,Comcast Corporation,US,NASDAQ,USD,Class A Common Stock,US20030N1019
