Code,Name,Country,Exchange,Currency,Type,Isin
A,Agilent Technologies,US,NYSE,USD,Common Stock,
AAPL,Apple Inc.,US,NASDAQ,USD,Common Stock,
ABBV,AbbVie,US,NYSE,USD,Common Stock,
ABC,AmerisourceBergen,US,NYSE,USD,Common Stock,
ABT,Abbott Laboratories,US,NYSE,USD,Common Stock,
ACGL,Arch Capital Group,Bermuda,NASDAQ,USD,Common Stock,
ACN,Accenture,Ireland,NYSE,USD,Common Stock,
ADBE,Adobe Inc.,US,NASDAQ,USD,Common Stock,
ADI,Analog Devices,US,NASDAQ,USD,Common Stock,
ADM,Archer Daniels Midland,US,NYSE,USD,Common Stock,
ADP,Automatic Data Processing,US,NASDAQ,USD,Common Stock,
ADSK,Autodesk,US,NASDAQ,USD,Common Stock,
AEE,Ameren,US,NYSE,USD,Common Stock,
AEP,American Electric Power,US,NASDAQ,USD,Common Stock,
AFL,Aflac,US,NYSE,USD,Common Stock,
AGCO,AGCO Corporation,US,NYSE,USD,Common Stock,
AGL,agilon health,US,NYSE,USD,Common Stock,
AIG,American International Group,US,NYSE,USD,Common Stock,
AIZ,Assurant,US,NYSE,USD,Common Stock,
AJG,Arthur J. Gallagher & Co.,US,NYSE,USD,Common Stock,
AKAM,Akamai Technologies,US,NASDAQ,USD,Common Stock,
ALB,Albemarle Corporation,US,NYSE,USD,Common Stock,
ALGN,Align Technology,US,NASDAQ,USD,Common Stock,
ALLE,Allegion,Ireland,NYSE,USD,Common Stock,
ALL,Allstate,US,NYSE,USD,Common Stock,
AMAT,Applied Materials,US,NASDAQ,USD,Common Stock,
AMD,Advanced Micro Devices,US,NASDAQ,USD,Common Stock,
AMGN,Amgen,US,NASDAQ,USD,Common Stock,
AMP,Ameriprise Financial,US,NYSE,USD,Common Stock,
AMT,American Tower,US,NYSE,USD,Common Stock,
AMZN,Amazon,US,NASDAQ,USD,Common Stock,
ANET,Arista Networks,US,NYSE,USD,Common Stock,
ANNX,Annexon,US,NASDAQ,USD,Common Stock,
AON,Aon plc,UK,NYSE,USD,Common Stock,
AOS,A. O. Smith,US,NYSE,USD,Common Stock,
APD,Air Products & Chemicals,US,NYSE,USD,Common Stock,
APEI,American Public Education,US,NASDAQ,USD,Common Stock,
APH,Amphenol,US,NYSE,USD,Common Stock,
APTV,Aptiv,Ireland,NYSE,USD,Common Stock,
ARE,Alexandria Real Estate Equities,US,NYSE,USD,Common Stock,
ARGX,argenx,US,NASDAQ,USD,Common Stock,
ARW,Arrow Electronics,US,NYSE,USD,Common Stock,
ATO,Atmos Energy,US,NYSE,USD,Common Stock,
ATVI,Activision Blizzard,US,NASDAQ,USD,Common Stock,
AVB,AvalonBay Communities,US,NYSE,USD,Common Stock,
AVGO,Broadcom,US,NASDAQ,USD,Common Stock,
AVY,Avery Dennison,US,NYSE,USD,Common Stock,
AWK,American Water Works,US,NYSE,USD,Common Stock,
AXP,American Express,US,NYSE,USD,Common Stock,
AZO,AutoZone,US,NYSE,USD,Common Stock,
BA,Boeing,US,NYSE,USD,Common Stock,
BALL,Ball Corporation,US,NYSE,USD,Common Stock,
BAC,Bank of America,US,NYSE,USD,Common Stock,
BAX,Baxter International,US,NYSE,USD,Common Stock,
BBWI,Bath & Body Works,US,NYSE,USD,Common Stock,
BBY,Best Buy,US,NYSE,USD,Common Stock,
BC,BruceWayne Corporation,US,NYSE,USD,Common Stock,
BDX,Becton Dickinson,US,NYSE,USD,Common Stock,
BEN,Franklin Resources,US,NYSE,USD,Common Stock,
BF.B,Brown–Forman (Class B),US,NYSE,USD,Common Stock,
BG,Bunge Limited,US,NYSE,USD,Common Stock,
BIIB,Biogen,US,NASDAQ,USD,Common Stock,
BIO,Bio-Rad Laboratories,US,NYSE,USD,Common Stock,
BIO.B,Bio-Rad Laboratories (Class B),US,NYSE,USD,Common Stock,
BK,Bank of New York Mellon,US,NYSE,USD,Common Stock,
BKNG,Booking Holdings,US,NASDAQ,USD,Common Stock,
BKR,Baker Hughes,US,NASDAQ,USD,Common Stock,
BLK,BlackRock,US,NYSE,USD,Common Stock,
BLL,N/A (stock replaced),US,N/A,USD,Common Stock,
BLDR,Builders FirstSource,US,NYSE,USD,Common Stock,
BN,Ramesses Corporation,US,NYSE,USD,Common Stock,
BMY,Bristol-Myers Squibb,US,NYSE,USD,Common Stock,
BR,Broadridge Financial Solutions,US,NYSE,USD,Common Stock,
BRK.B,Berkshire Hathaway (Class B),US,NYSE,USD,Common Stock,
BRO,Brown & Brown,US,NYSE,USD,Common Stock,
BSX,Boston Scientific,US,NYSE,USD,Common Stock,
BTU,Peabody Energy,US,NYSE,USD,Common Stock,
C,Citigroup,US,NYSE,USD,Common Stock,
CAG,Conagra Brands,US,NYSE,USD,Common Stock,
CAH,Cardinal Health,US,NYSE,USD,Common Stock,
CAM,Cactus Inc.,US,NYSE,USD,Common Stock,
CARR,Carrier Global,US,NYSE,USD,Common Stock,
CAT,Caterpillar Inc.,US,NYSE,USD,Common Stock,
CB,Chubb Limited,Switzerland,NYSE,USD,Common Stock,
CBOE,Cboe Global Markets,US,NYSE,USD,Common Stock,
CBRE,CBRE Group,US,NYSE,USD,Common Stock,
CCL,Carnival Corporation,US,NYSE,USD,Common Stock,
CDAY,Ceridian HCM Holding,US,NYSE,USD,Common Stock,
CDNS,Cadence Design Systems,US,NASDAQ,USD,Common Stock,
CDW,CDW Corporation,US,NASDAQ,USD,Common Stock,
CE,Celanese,US,NYSE,USD,Common Stock,
CEG,Constellation Energy,US,NASDAQ,USD,Common Stock,
CERN,Cerner Corporation,US,NASDAQ,USD,Common Stock,
CF,CF Industries Holdings,US,NYSE,USD,Common Stock,
CFG,Citizens Financial Group,US,NYSE,USD,Common Stock,
CHD,Church & Dwight,US,NYSE,USD,Common Stock,
CHRW,C.H. Robinson Worldwide,US,NASDAQ,USD,Common Stock,
CI,Cigna,US,NYSE,USD,Common Stock,
CINF,Cincinnati Financial,US,NASDAQ,USD,Common Stock,
CL,Colgate-Palmolive,US,NYSE,USD,Common Stock,
CLX,Clorox,US,NYSE,USD,Common Stock,
CMA,Comerica,US,NYSE,USD,Common Stock,
CMC,Commercial Metals,US,NYSE,USD,Common Stock,
CMCSA,Comcast,US,NASDAQ,USD,Common Stock,
CME,CME Group,US,NASDAQ,USD,Common Stock,
CMG,Chipotle Mexican Grill,US,NYSE,USD,Common Stock,
CMI,Cummins,US,NYSE,USD,Common Stock,
CMS,CMS Energy,US,NYSE,USD,Common Stock,
CNC,Centene Corporation,US,NYSE,USD,Common Stock,
CNP,CenterPoint Energy,US,NYSE,USD,Common Stock,
COF,Capital One Financial,US,NYSE,USD,Common Stock,
COG,Cabot Oil & Gas,US,NYSE,USD,Common Stock,
COO,Cooper Companies (The),US,NYSE,USD,Common Stock,
COP,ConocoPhillips,US,NYSE,USD,Common Stock,
COST,Costco Wholesale,US,NASDAQ,USD,Common Stock,
CPB,Campbell Soup,US,NYSE,USD,Common Stock,
CPRT,Copart,US,NASDAQ,USD,Common Stock,
CPT,Camden Property Trust,US,NYSE,USD,Common Stock,
CRL,Charles River Laboratories,US,NYSE,USD,Common Stock,
CRM,Salesforce,US,NYSE,USD,Common Stock,
CSCO,Cisco Systems,US,NASDAQ,USD,Common Stock,
CSX,CSX Corporation,US,NYSE,USD,Common Stock,
CTAS,Cintas,US,NASDAQ,USD,Common Stock,
CTLT,Catalent,US,NYSE,USD,Common Stock,
CTRA,Coterra Energy,US,NYSE,USD,Common Stock,
CTS,Cognizant (Service),US,NASDAQ,USD,Common Stock,
CTSH,Cognizant Technology Solutions,US,NASDAQ,USD,Common Stock,
CTVA,Corteva,US,NYSE,USD,Common Stock,
CVS,CVS Health,US,NYSE,USD,Common Stock,
CVX,Chevron Corporation,US,NYSE,USD,Common Stock,
CW, Curtiss-Wright,US,NYSE,USD,Common Stock,
D,Dominion Energy,US,NYSE,USD,Common Stock,
DAL,Delta Air Lines,US,NYSE,USD,Common Stock,
DD,DuPont de Nemours,US,NYSE,USD,Common Stock,
DE,Deere & Company,US,NYSE,USD,Common Stock,
DG,Dollar General,US,NYSE,USD,Common Stock,
DGX,Quest Diagnostics,US,NYSE,USD,Common Stock,
DHI,D.R. Horton,US,NYSE,USD,Common Stock,
DHR,Danaher Corporation,US,NYSE,USD,Common Stock,
DIS,Walt Disney Company (The),US,NYSE,USD,Common Stock,
DISCA,Discovery Inc. (Class A),US,NASDAQ,USD,Common Stock,
DISH,DISH Network,US,NASDAQ,USD,Common Stock,
DLR,Digital Realty Trust,US,NYSE,USD,Common Stock,
DLTR,Dollar Tree,US,NASDAQ,USD,Common Stock,
DOCU,DocuSign,US,NASDAQ,USD,Common Stock,
DOV,Dover Corporation,US,NYSE,USD,Common Stock,
DPZ,Domino's Pizza,US,NYSE,USD,Common Stock,
DRE,Duke Realty,US,NYSE,USD,Common Stock,
DRI,Darden Restaurants,US,NYSE,USD,Common Stock,
DS,Drive Shack,US,NYSE,USD,Common Stock,
DTE,DTE Energy,US,NYSE,USD,Common Stock,
DUK,Duke Energy,US,NYSE,USD,Common Stock,
DVA,DaVita,US,NYSE,USD,Common Stock,
DVN,Devon Energy,US,NYSE,USD,Common Stock,
DXCM,DexCom,US,NASDAQ,USD,Common Stock,
EA,Electronic Arts,US,NASDAQ,USD,Common Stock,
EBAY,eBay Inc.,US,NASDAQ,USD,Common Stock,
ECL,Ecolab,US,NYSE,USD,Common Stock,
ED,Consolidated Edison,US,NYSE,USD,Common Stock,
EFX,Equifax,US,NYSE,USD,Common Stock,
EIX,Edison International,US,NYSE,USD,Common Stock,
EL,Estée Lauder Companies (The),US,NYSE,USD,Common Stock,
ELV,Elevance Health,US,NYSE,USD,Common Stock,
EMN,Eastman Chemical,US,NYSE,USD,Common Stock,
EMR,Emerson Electric,US,NYSE,USD,Common Stock,
ENPH,Enphase Energy,US,NASDAQ,USD,Common Stock,
EOG,EOG Resources,US,NYSE,USD,Common Stock,
EPAM,EPAM Systems,US,NYSE,USD,Common Stock,
EQIX,Equinix,US,NASDAQ,USD,Common Stock,
EQR,Equity Residential,US,NYSE,USD,Common Stock,
EQRR,Quinnipiac Corp,US,NASDAQ,USD,Common Stock,
EQT,EQT Corporation,US,NYSE,USD,Common Stock,
ERIE,Erie Indemnity,US,NASDAQ,USD,Common Stock,
ES,Eversource Energy,US,NYSE,USD,Common Stock,
ESS,Essex Property Trust,US,NYSE,USD,Common Stock,
ETN,Eaton Corporation plc,Ireland,NYSE,USD,Common Stock,
ETR,Entergy,US,NYSE,USD,Common Stock,
EVRG,Evergy,US,NYSE,USD,Common Stock,
EW,Edwards Lifesciences,US,NYSE,USD,Common Stock,
EXC,Exelon,US,NASDAQ,USD,Common Stock,
EXPD,Expeditors International,US,NASDAQ,USD,Common Stock,
EXPE,Expedia Group,US,NASDAQ,USD,Common Stock,
EXR,Extra Space Storage,US,NYSE,USD,Common Stock,
F, Ford Motor Company,US,NYSE,USD,Common Stock,
FANG,Diamondback Energy,US,NASDAQ,USD,Common Stock,
FAST,Fastenal,US,NASDAQ,USD,Common Stock,
FB,Fidelity Balanced Fund,US,NASDAQ,USD,Common Stock,
FBHS,Fortune Brands Home & Security,US,NYSE,USD,Common Stock,
FCX,Freeport-McMoRan,US,NYSE,USD,Common Stock,
FDX,FedEx,US,NYSE,USD,Common Stock,
FE,FirstEnergy,US,NYSE,USD,Common Stock,
FFIV,F5 Inc.,US,NASDAQ,USD,Common Stock,
FIS,Fidelity National Information Services,US,NYSE,USD,Common Stock,
FISV,Fiserv,US,NASDAQ,USD,Common Stock,
FITB,Fifth Third Bancorp,US,NASDAQ,USD,Common Stock,
FLIR,FLIR Systems,US,NASDAQ,USD,Common Stock,
FLT,FleetCor Technologies,US,NYSE,USD,Common Stock,
FLS,Flowserve,US,NYSE,USD,Common Stock,
FMC,FMC Corporation,US,NYSE,USD,Common Stock,
FOX,Fox Corporation (Class B),US,NASDAQ,USD,Common Stock,
FOXA,Fox Corporation (Class A),US,NASDAQ,USD,Common Stock,
FRC,First Republic Bank,US,NYSE,USD,Common Stock,
FRT,Federal Realty Investment Trust,US,NYSE,USD,Common Stock,
FSR,Fisker Inc.,US,NYSE,USD,Common Stock,
FTNT,Fortinet,US,NASDAQ,USD,Common Stock,
FTV,Fortive,US,NYSE,USD,Common Stock,
GD,General Dynamics,US,NYSE,USD,Common Stock,
GE,GE Aerospace,US,NYSE,USD,Common Stock,
GEHC,GE HealthCare,US,NYSE,USD,Common Stock,
GEN,Gen Digital,US,NASDAQ,USD,Common Stock,
GEO,Geo Group,US,NYSE,USD,Common Stock,
GEV,GE Vernova,US,NYSE,USD,Common Stock,
GILD,Gilead Sciences,US,NASDAQ,USD,Common Stock,
GIS,General Mills,US,NYSE,USD,Common Stock,
GL,Globe Life,US,NYSE,USD,Common Stock,
GLW,Corning Inc.,US,NYSE,USD,Common Stock,
GM,General Motors,US,NYSE,USD,Common Stock,
GNRC,Generac Holdings,US,NYSE,USD,Common Stock,
GOOG,Alphabet Inc. (Class C),US,NASDAQ,USD,Common Stock,
GOOGL,Alphabet Inc. (Class A),US,NASDAQ,USD,Common Stock,
GS,Goldman Sachs Group,US,NYSE,USD,Common Stock,
GWW,W.W. Grainger,US,NYSE,USD,Common Stock,
HAL,Halliburton,US,NYSE,USD,Common Stock,
HAS,Hasbro,US,NASDAQ,USD,Common Stock,
HBAN,Huntington Bancshares,US,NASDAQ,USD,Common Stock,
HCA,HCA Healthcare,US,NYSE,USD,Common Stock,
HD,Home Depot (The),US,NYSE,USD,Common Stock,
HES,Hess Corporation,US,NYSE,USD,Common Stock,
HIG,Hartford Financial Services,US,NYSE,USD,Common Stock,
HII,Huntington Ingalls Industries,US,NYSE,USD,Common Stock,
HLT,Hilton Worldwide Holdings,US,NYSE,USD,Common Stock,
HOLX,Hologic,US,NASDAQ,USD,Common Stock,
HON,Honeywell International,US,NASDAQ,USD,Common Stock,
HPE,Hewlett Packard Enterprise,US,NYSE,USD,Common Stock,
HPQ,HP Inc.,US,NYSE,USD,Common Stock,
HRL,Hormel Foods,US,NYSE,USD,Common Stock,
HSIC,Henry Schein,US,NASDAQ,USD,Common Stock,
HST,Host Hotels & Resorts,US,NASDAQ,USD,Common Stock,
HSY,Hershey Company (The),US,NYSE,USD,Common Stock,
HUM,Humana,US,NYSE,USD,Common Stock,
HWM,Howmet Aerospace,US,NYSE,USD,Common Stock,
IBM,IBM,US,NYSE,USD,Common Stock,
IBKR,Interactive Brokers,US,NASDAQ,USD,Common Stock,
ICE,Intercontinental Exchange,US,NYSE,USD,Common Stock,
IDXX,IDEXX Laboratories,US,NASDAQ,USD,Common Stock,
IEX,IDEX Corporation,US,NYSE,USD,Common Stock,
IFF,International Flavors & Fragrances,US,NYSE,USD,Common Stock,
ILMN,Illumina,US,NASDAQ,USD,Common Stock,
