Code,Name,Country,Exchange,Currency,Type,ISIN
AA,Alcoa,US,NYSE,USD,Common Stock,US0138171014
AAL,American Airlines Group,US,NASDAQ,USD,Common Stock,US02376R1023
AAON,AAON,US,NASDAQ,USD,Common Stock,US0003602069
ACHC,Acadia Healthcare,US,NASDAQ,USD,Common Stock,US00404A1097
ACI,Albertsons,US,NYSE,USD,Common Stock,US0130911037
ACM,AECOM,US,NYSE,USD,Common Stock,US00766T1007
ADC,Agree Realty,US,NYSE,USD,Common Stock,US0084921008
AFG,American Financial Group,US,NYSE,USD,Common Stock,US0259321042
AGCO,AGCO,US,NYSE,USD,Common Stock,US0010841023
AIT,Applied Industrial Technologies,US,NYSE,USD,Common Stock,US03820C1053
ALE,ALLETE,US,NYSE,USD,Common Stock,US0185223007
ALGM,Allegro MicroSystems,US,NASDAQ,USD,Common Stock,US01749D1054
ALK,Alaska Air Group,US,NYSE,USD,Common Stock,US0116591092
ALLY,Ally Financial,US,NYSE,USD,Common Stock,US02005N1000
ALV,Autoliv,US,NYSE,USD,Common Stock,US0528001094
AM,Antero Midstream,US,NYSE,USD,Common Stock,US03674X1063
AMED,Amedisys,US,NASDAQ,USD,Common Stock,US0234361089
AMG,Affiliated Managers Group,US,NYSE,USD,Common Stock,US0082521081
AMH,American Homes 4 Rent,US,NASDAQ,USD,Common Stock,US02665T3068
AMKR,Amkor Technology,US,NASDAQ,USD,Common Stock,US0316521006
AN,AutoNation,US,NYSE,USD,Common Stock,US05329W1027
ANF,Abercrombie & Fitch,US,NYSE,USD,Common Stock,US0028962076
APG,APi Group,US,NYSE,USD,Common Stock,US00187Y1001
APPF,AppFolio,US,NASDAQ,USD,Common Stock,US03783C1009
AR,Antero Resources,US,NYSE,USD,Common Stock,US03674X1063
ARMK,Aramark,US,NYSE,USD,Common Stock,US03852U1060
ARW,Arrow Electronics,US,NYSE,USD,Common Stock,US0427351004
ASB,Associated Bank,US,NYSE,USD,Common Stock,US0454871056
ASGN,ASGN Inc.,US,NYSE,USD,Common Stock,US00191U1025
ASH,Ashland Global,US,NYSE,USD,Common Stock,US0441861046
ATI,ATI Inc.,US,NYSE,USD,Common Stock,US0017081010
ATR,AptarGroup,US,NYSE,USD,Common Stock,US0383361039
AVAV,AeroVironment,US,NASDAQ,USD,Common Stock,US0080731088
AVNT,Avient,US,NYSE,USD,Common Stock,US05368V1061
AVT,Avnet,US,NYSE,USD,Common Stock,US0538071038
AVTR,Avantor,US,NYSE,USD,Common Stock,US05352A1007
AXTA,Axalta,US,NYSE,USD,Common Stock,US05453E1029
AYI,Acuity Brands,US,NYSE,USD,Common Stock,US00508Y1029
BBWI,Bath & Body Works Inc.,US,NYSE,USD,Common Stock,US0708301041
BC,Brunswick,US,NYSE,USD,Common Stock,US1170431092
BCO,Brink’s,US,NYSE,USD,Common Stock,US1096961040
BDC,Belden Inc.,US,NYSE,USD,Common Stock,US0774541066
BHF,Brighthouse Financial,US,NASDAQ,USD,Common Stock,US10922N1037
BILL,Bill Holdings (BILL Holdings),US,NYSE,USD,Common Stock,US0900431000
BIO,Bio-Rad Laboratories,US,NYSE,USD,Common Stock,US0905722072
BJ,BJ’s Wholesale Club,US,NYSE,USD,Common Stock,US05550J1016
BKH,Black Hills Corporation,US,NYSE,USD,Common Stock,US0921131092
BLD,TopBuild Corp.,US,NYSE,USD,Common Stock,US89055F1030
BLKB,Blackbaud,US,NASDAQ,USD,Common Stock,US09227Q1004
BMRN,BioMarin Pharmaceutical,US,NASDAQ,USD,Common Stock,US09061G1013
BRBR,BellRing Brands,US,NYSE,USD,Common Stock,US07831C1036
BRKR,Bruker,US,NASDAQ,USD,Common Stock,US1167941087
BRX,Brixmor Property Group,US,NYSE,USD,Common Stock,US11120U1051
BURL,Burlington,US,NYSE,USD,Common Stock,US1220171060
BWXT,BWX Technologies,US,NYSE,USD,Common Stock,US05605H1005
BYD,Boyd Gaming,US,NYSE,USD,Common Stock,US1033041013
CACI,CACI International,US,NASDAQ,USD,Common Stock,US1271903049
CADE,Cadence Bank,US,NYSE,USD,Common Stock,US12740C1036
CAR,Avis Budget Group,US,NASDAQ,USD,Common Stock,US0537741052
CART,Maplebear Inc. (Instacart),US,NASDAQ,USD,Common Stock,US56528J1025
CASY,Casey’s General Stores,US,NASDAQ,USD,Common Stock,US1475281036
CAVA,Cava Group,US,NYSE,USD,Common Stock,US14986K1060
CBSH,Commerce Bancshares,US,NASDAQ,USD,Common Stock,US2005251036
CBT,Cabot Corp,US,NYSE,USD,Common Stock,US1270551013
CCK,Crown Holdings,US,NYSE,USD,Common Stock,US2283681060
CDP,COPT Defense Properties,US,NYSE,USD,Common Stock,US22002T1088
CELH,Celsius Holdings,US,NASDAQ,USD,Common Stock,US15118V2079
CFR,Frost Bank (Cullen/Frost Bankers),US,NYSE,USD,Common Stock,US2298991090
CG,Carlyle Group,US,NASDAQ,USD,Common Stock,US14316J1088
CGNX,Cognex,US,NASDAQ,USD,Common Stock,US1924221039
CHDN,Churchill Downs Inc.,US,NASDAQ,USD,Common Stock,US1714841087
CHE,Chemed Corp.,US,NASDAQ,USD,Common Stock,US16359R1032
CHH,Choice Hotels,US,NYSE,USD,Common Stock,US1699051066
CHRD,Chord Energy,US,NASDAQ,USD,Common Stock,US17039E1029
CHWY,Chewy,US,NYSE,USD,Common Stock,US16679L1098
CIEN,Ciena,US,NYSE,USD,Common Stock,US1717793095
CIVI,Civitas Resources,US,NYSE,USD,Common Stock,US17888R1014
CLF,Cleveland-Cliffs,US,NYSE,USD,Common Stock,US1858991011
CLH,Clean Harbors,US,NYSE,USD,Common Stock,US1844961078
CMA,Comerica,US,NYSE,USD,Common Stock,US2003401070
CMC,Commercial Metals,US,NYSE,USD,Common Stock,US2017231034
CNH,CNH Industrial,Netherlands,NYSE,USD,Common Stock,NL0010545661
CNM,Core & Main,US,NYSE,USD,Common Stock,US21873J1088
CNO,CNO Financial Group,US,NYSE,USD,Common Stock,US12621E1038
CNX,CNX Resources,US,NYSE,USD,Common Stock,US12653C1080
CNXC,Concentrix,US,NASDAQ,USD,Common Stock,US20602D1019
COHR,Coherent Corp.,US,NASDAQ,USD,Common Stock,US19247A1007
COKE,Coca-Cola Consolidated,US,NASDAQ,USD,Common Stock,US19122T1097
COLB,Columbia Banking System,US,NASDAQ,USD,Common Stock,US1972361026
COLM,Columbia Sportswear,US,NASDAQ,USD,Common Stock,US1985161066
COTY,Coty,US,NYSE,USD,Common Stock,US2220702037
CPRI,Capri Holdings,UK,NYSE,USD,Common Stock,VGG1890L1076
CR,Crane,US,NYSE,USD,Common Stock,US2243991054
CROX,Crocs,US,NASDAQ,USD,Common Stock,US2270461096
CRS,Carpenter Technology,US,NYSE,USD,Common Stock,US1442851036
CRUS,Cirrus Logic,US,NASDAQ,USD,Common Stock,US1727551004
CSL,Carlisle Companies,US,NYSE,USD,Common Stock,US1423391002
CUBE,CubeSmart,US,NYSE,USD,Common Stock,US2296631094
CUZ,Cousins Properties,US,NYSE,USD,Common Stock,US2227955026
CVLT,CommVault Systems,US,NASDAQ,USD,Common Stock,US2041661024
CW,Curtiss-Wright,US,NYSE,USD,Common Stock,US2315611010
CXT,Crane NXT,US,NYSE,USD,Common Stock,US2247191040
CYTK,Cytokinetics,US,NASDAQ,USD,Common Stock,US23282W6057
DAR,Darling Ingredients,US,NYSE,USD,Common Stock,US2372661015
DBX,Dropbox,US,NASDAQ,USD,Common Stock,US26210C1045
DCI,Donaldson Company,US,NYSE,USD,Common Stock,US2576511099
DINO,HF Sinclair,US,NYSE,USD,Common Stock,US4039491000
DKS,Dick’s Sporting Goods,US,NYSE,USD,Common Stock,US2533931026
DLB,Dolby,US,NYSE,USD,Common Stock,US25659T1079
DOCS,Doximity,US,NYSE,USD,Common Stock,US26622P1075
DOCU,DocuSign,US,NASDAQ,USD,Common Stock,US2561631068
DT,Dynatrace,US,NYSE,USD,Common Stock,US2681501092
DTM,DT Midstream,US,NYSE,USD,Common Stock,US23345P1021
DUOL,Duolingo,US,NASDAQ,USD,Common Stock,US26603R1068
EEFT,Euronet Worldwide,US,NASDAQ,USD,Common Stock,US2987361092
EGP,EastGroup Properties,US,NYSE,USD,Common Stock,US2772761019
EHC,Encompass Health,US,NYSE,USD,Common Stock,US29261A1007
ELF,e.l.f. Beauty,US,NYSE,USD,Common Stock,US26856L1035
ELS,Common Stock Lifestyle Properties,US,NYSE,USD,Common Stock,US29472R1086
EME,Emcor,US,NYSE,USD,Common Stock,US29084Q1004
ENS,EnerSys,US,NYSE,USD,Common Stock,US29275Y1029
ENSG,Ensign Group,US,NASDAQ,USD,Common Stock,US29358P1012
ENTG,Entegris,US,NASDAQ,USD,Common Stock,US29362U1043
EPR,EPR Properties,US,NYSE,USD,Common Stock,US26884U1097
EQH,Equitable Holdings,US,NYSE,USD,Common Stock,US29452E1010
ESAB,ESAB,US,NYSE,USD,Common Stock,US29605W1071
ESNT,Essent Group Ltd.,Bermuda,NYSE,USD,Common Stock,BMG3198U1027
EVR,Evercore,US,NYSE,USD,Common Stock,US29977A1051
EWBC,East West Bancorp,US,NASDAQ,USD,Common Stock,US27579R1041
EXEL,Exelixis,US,NASDAQ,USD,Common Stock,US30161Q1040
EXLS,EXL Service,US,NASDAQ,USD,Common Stock,US3020811044
EXP,Eagle Materials,US,NYSE,USD,Common Stock,US26969P1084
EXPO,Exponent Inc.,US,NASDAQ,USD,Common Stock,US30214U1025
FAF,First American Financial Corporation,US,NYSE,USD,Common Stock,US31847R1023
FBIN,Fortune Brands Innovations,US,NYSE,USD,Common Stock,US34964C1062
FCFS,FirstCash,US,NASDAQ,USD,Common Stock,US33767D1054
FCN,FTI Consulting,US,NYSE,USD,Common Stock,US3029411093
FFIN,First Financial Bankshares,US,NASDAQ,USD,Common Stock,US32020R1095
FHI,Federated Hermes,US,NYSE,USD,Common Stock,US3142111034
FHN,First Horizon,US,NYSE,USD,Common Stock,US3205171057
FIVE,Five Below,US,NASDAQ,USD,Common Stock,US33829M1018
FIX,Comfort Systems USA,US,NYSE,USD,Common Stock,US1999081045
FLEX,Flex Ltd.,Singapore,NASDAQ,USD,Common Stock,SG9999000020
FLG,Flagstar Financial (Flagstar Bank),US,NYSE,USD,Common Stock,US33847C3012
FLO,Flowers Foods,US,NYSE,USD,Common Stock,US3434981011
FLR,Fluor,US,NYSE,USD,Common Stock,US3434121022
FLS,Flowserve,US,NYSE,USD,Common Stock,US34354P1057
FN,Fabrinet,Cayman Islands,NYSE,USD,Common Stock,KYG3323L1005
FNB,FNB Corporation,US,NYSE,USD,Common Stock,US3025201019
FND,Floor & Decor,US,NYSE,USD,Common Stock,US3397501012
FNF,Fidelity National Financial,US,NYSE,USD,Common Stock,US31620R3030
FOUR,Shift4,US,NYSE,USD,Common Stock,US82452J1025
