Code,Name,Country,Exchange,Currency,Type,ISIN
AAP,Advance Auto Parts Inc.,US,NYSE,USD,Common Stock,
AAT,American Assets Trust,US,NYSE,USD,Common Stock,
ABCB,Ameris Bancorp,US,NASDAQ,USD,Common Stock,
ABG,Asbury Automotive Group,US,NYSE,USD,Common Stock,
ABM,ABM Industries Inc.,US,NYSE,USD,Common Stock,
ABR,Arbor Realty Trust,US,NYSE,USD,Common Stock,
ACA,Arcosa Inc.,US,NYSE,USD,Common Stock,
ACAD,Acadia Pharmaceuticals,Ireland,NASDAQ,USD,Common Stock,IE00B56GVS15
ACIW,ACI Worldwide,US,NASDAQ,USD,Common Stock,
ACLS,Axcelis Technologies Inc.,US,NASDAQ,USD,Common Stock,
ACT,Enact Holdings Inc.,US,NASDAQ,USD,Common Stock,
ADEA,Adeia Inc.,US,NASDAQ,USD,Common Stock,
ADMA,ADMA Biologics Inc.,US,NASDAQ,USD,Common Stock,
ADNT,Adient,US,NYSE,USD,Common Stock,
ADUS,Addus HomeCare Corp.,US,NASDAQ,USD,Common Stock,
AEIS,Advanced Energy,US,NASDAQ,USD,Common Stock,
AEO,American Eagle Outfitters,US,NYSE,USD,Common Stock,
AESI,Atlas Energy Solutions Inc.,US,NASDAQ,USD,Common Stock,
AGO,Assured Guaranty Ltd.,Bermuda,NYSE,USD,Common Stock,BMG0585R1060
AGYS,Agilysys Inc.,US,NASDAQ,USD,Common Stock,
AHCO,AdaptHealth Corp.,US,NASDAQ,USD,Common Stock,
AHH,Armada Hoffler Properties Inc.,US,NYSE,USD,Common Stock,
AIN,Albany International Corp.,US,NASDAQ,USD,Common Stock,
AIR,AAR CORP.,US,NYSE,USD,Common Stock,
AKR,Acadia Realty Trust,US,NYSE,USD,Common Stock,
AL,Air Lease Corporation,US,NYSE,USD,Common Stock,
ALEX,Alexander & Baldwin,US,NYSE,USD,Common Stock,
ALG,Alamo Group,US,NYSE,USD,Common Stock,
ALGT,Allegiant Travel Company,US,NASDAQ,USD,Common Stock,
ALKS,Alkermes plc,Ireland,NASDAQ,USD,Common Stock,IE00B56GVS15
ALRM,Alarm.com Inc.,US,NASDAQ,USD,Common Stock,
AMN,AMN Healthcare Services Inc.,US,NYSE,USD,Common Stock,
AMPH,Amphastar Pharmaceuticals Inc.,US,NASDAQ,USD,Common Stock,
AMR,Alpha Metallurgical Resources Inc.,US,NYSE,USD,Common Stock,
AMSF,Amerisafe Inc.,US,NASDAQ,USD,Common Stock,
AMTM,Amentum,US,NYSE,USD,Common Stock,
AMWD,American Woodmark Corp.,US,NASDAQ,USD,Common Stock,
ANDE,The Andersons Inc.,US,NASDAQ,USD,Common Stock,
ANGI,Angi Inc.,US,NASDAQ,USD,Common Stock,
ANIP,ANI Pharmaceuticals Inc.,US,NASDAQ,USD,Common Stock,
AORT,Artivion,US,NYSE,USD,Common Stock,
